conversation,index,value,flag,timestamp
"[{""role"": ""user"", ""metadata"": null, ""content"": ""recherche web"", ""options"": null}, {""role"": ""assistant"", ""metadata"": null, ""content"": ""Here are some web search results:\nExample Result 1\nhttps://example.com/1\nThis is a snippet from example result 1.\n\nExample Result 2\nhttps://example.com/2\nThis is a snippet from example result 2."", ""options"": null}]",1,Like,2025-11-15 21:26:58.066313
"[{""role"": ""user"", ""metadata"": null, ""content"": ""Qui a d\u00e9velopp\u00e9 Maestro ?"", ""options"": null}, {""role"": ""assistant"", ""metadata"": null, ""content"": ""The gyat is a slang term used to describe an attractive person. Skibidi bop yes yes yes."", ""options"": null}]",1,Other,2025-11-16 00:29:33.073368
"[{""role"": ""user"", ""metadata"": null, ""content"": ""Generate me a beatiful landscape"", ""options"": null}, {""role"": ""assistant"", ""metadata"": null, ""content"": ""A beautiful sunrise over a mountain range with a clear sky."", ""options"": null}]",1,Like,2025-11-16 09:39:21.457536
"[{""role"": ""user"", ""metadata"": null, ""content"": ""Generate me a beatiful landscape"", ""options"": null}, {""role"": ""assistant"", ""metadata"": null, ""content"": ""A beautiful sunrise over a mountain range with a clear sky."", ""options"": null}]",1,,2025-11-16 09:39:22.212532
"[{""role"": ""user"", ""metadata"": null, ""content"": ""Generate me a beatiful landscape"", ""options"": null}, {""role"": ""assistant"", ""metadata"": null, ""content"": ""A beautiful sunrise over a mountain range with a clear sky."", ""options"": null}]",1,Like,2025-11-16 09:39:25.513214
"[{""role"": ""user"", ""metadata"": null, ""content"": ""Generate me a beatiful landscape"", ""options"": null}, {""role"": ""assistant"", ""metadata"": null, ""content"": ""A beautiful sunrise over a mountain range with a clear sky."", ""options"": null}]",1,,2025-11-16 09:39:32.644650
"[{""role"": ""user"", ""metadata"": null, ""content"": ""Generate me a beatiful landscape"", ""options"": null}, {""role"": ""assistant"", ""metadata"": null, ""content"": ""A beautiful sunrise over a mountain range with a clear sky."", ""options"": null}]",1,Like,2025-11-16 09:39:33.453790
"[{""role"": ""user"", ""metadata"": null, ""content"": ""Generate me a beatiful landscape"", ""options"": null}, {""role"": ""assistant"", ""metadata"": null, ""content"": ""A beautiful sunrise over a mountain range with a clear sky."", ""options"": null}]",1,,2025-11-16 09:40:33.999571
"[{""role"": ""user"", ""metadata"": null, ""content"": ""Generate me a beatiful landscape"", ""options"": null}, {""role"": ""assistant"", ""metadata"": null, ""content"": ""A beautiful sunrise over a mountain range with a clear sky."", ""options"": null}]",1,Like,2025-11-16 09:40:34.303991
"[{""role"": ""user"", ""metadata"": null, ""content"": ""Generate me a beatiful landscape"", ""options"": null}, {""role"": ""assistant"", ""metadata"": null, ""content"": ""A beautiful sunrise over a mountain range with a clear sky."", ""options"": null}]",1,,2025-11-16 09:40:34.661797
